color,memory,model,name,price,seller,sku,url
iPhone 8 Plus银色,256G,,全球购Apple 全新 港版 美版 澳版 苹果iPhonex手机苹果 iPhone8/8Plus/ X手机 iPhone 8 Plus银色 256G,7699.0,佳运汇通生活家电专营店,20054881323,https://item.jd.hk/20054881323.html
深空灰,全网通 64GB,AppleiPhone 8 Plus,Apple 苹果  iPhone 8 plus 手机 深空灰 全网通 64GB,6999.0,易道手机专营店,16579563292,http://item.jd.com/16579563292.html
黑色,全网通 32GB,AppleiPhone7,Apple 苹果 iPhone7 手机 黑色 全网通 32GB,3928.0,佳沪手机旗舰店,10673893285,http://item.jd.com/10673893285.html
银色,全网通 64GB,AppleiPhone X,Apple 苹果 iPhone X (A1865)全面屏手机 银色 全网通 64GB,7158.0,易道手机专营店,15354128254,http://item.jd.com/15354128254.html
金色,iphone6  128GB,,全球购APPLE 日本直邮 日版 无锁 iphone6s/6s plus 金色 iphone6  128GB,5389.0,海优网全球购专营店,21229640376,https://item.jd.hk/21229640376.html
银色,全网通64G,AppleiPhone 8,Apple 苹果 iPhone8 手机 银色 全网通64G,5099.0,爱优创杰手机专营店,15976864145,http://item.jd.com/15976864145.html
黑色,官方标配(全网通128G),Apple7 plus,Apple 苹果iPhone7 plus手机 黑色 官方标配(全网通128G),5999.0,君问手机旗舰店,10705295922,http://item.jd.com/10705295922.html
深空灰色,全网通 64GB,Apple苹果iPhone X,Apple 苹果X iPhone X 手机 深空灰色 全网通 64GB,7999.0,澳飞华宇手机专营店,27486286316,http://item.jd.com/27486286316.html
金色,全网通 32G,Apple 苹果  iPhone 6（A1586） 手机 4.7英寸 32GB 金色 全网通 32G,Apple 苹果  iPhone 6（A1586） 手机 4.7英寸 32GB 金色 全网通 32G,2049.0,泰美手机专营店,15411526006,http://item.jd.com/15411526006.html
金色（现货）,64GB,,全球购Apple iPhone XS 苹果新款手机 A12仿生芯片 新品全面屏智能手机 金色（现货） 64GB,10688.0,HK数码国际全球购专营店,33020918102,https://item.jd.hk/33020918102.html
银色,64G 港版 移动联通4G,,全球购Apple 苹果 iPhone X 港版/美版/日版 移动联通电信4G 苹果智能手机 银色 64G 港版 移动联通4G,6828.0,CSL海外专营店,29770133599,https://item.jd.hk/29770133599.html
金色,全网通 512GB,Apple 苹果 iPhone XS 手机 金色 全网通 512GB,Apple 苹果 iPhone XS 手机 金色 全网通 512GB,12188.0,杰凌手机旗舰店,32968668115,http://item.jd.com/32968668115.html
iPhoneXs【金色】5.8英寸,64G,,全球购Apple 苹果 iPhone XS/iPhone XS Max 移动联通电信4G手机 A12仿生 iPhoneXs【金色】5.8英寸 64G,8870.0,盈科全球购专营店,33270865141,https://item.jd.hk/33270865141.html
深空灰色,全网通 64G,Apple 苹果X iPhone X（A1865）全网通4G智能手机 全面屏 深空灰色 全网通 64G,Apple 苹果X iPhone X（A1865）全网通4G智能手机 全面屏 深空灰色 全网通 64G,7888.0,久汇通官方旗舰店,28109612504,http://item.jd.com/28109612504.html
