,model,memory,price,url
0,iPhone 8 Plus,256GB,7699.0,https://item.jd.hk/20054881323.html
1,iPhone 8 Plus,64GB,6999.0,http://item.jd.com/16579563292.html
2,iPhone 7,32GB,3928.0,http://item.jd.com/10673893285.html
3,iPhone X,64GB,7158.0,http://item.jd.com/15354128254.html
5,iPhone 8,64GB,5099.0,http://item.jd.com/15976864145.html
7,iPhone X,64GB,7999.0,http://item.jd.com/27486286316.html
8,iPhone 6,32GB,2049.0,http://item.jd.com/15411526006.html
11,iPhone XS,512GB,12188.0,http://item.jd.com/32968668115.html
12,iPhone XS,64GB,8870.0,https://item.jd.hk/33270865141.html
13,iPhone X,64GB,7888.0,http://item.jd.com/28109612504.html
14,iPhone 7 Plus,256GB,37999.0,https://item.jd.hk/1993542991.html
15,iPhone XR,64GB,6899.0,http://item.jd.com/32242288360.html
16,iPhone XS,64GB,8999.0,http://item.jd.com/32897760072.html
20,iPhone XS Max,256GB,10448.0,http://item.jd.com/32942104635.html
21,iPhone 6S Plus,32GB,2798.0,http://item.jd.com/11500996608.html
24,iPhone 8 Plus,64GB,6018.0,http://item.jd.com/16590255396.html
25,iPhone 8,64GB,3688.0,https://item.jd.hk/29206899577.html
26,iPhone X,256GB,8699.0,http://item.jd.com/28446937773.html
27,iPhone 6S Plus,32GB,2929.0,http://item.jd.com/11357751613.html
28,iPhone X,64GB,7488.0,http://item.jd.com/32213407021.html
29,iPhone 6S Plus,128GB,3768.0,http://item.jd.com/15500042665.html
30,iPhone 8,64GB,5238.0,http://item.jd.com/16840903541.html
31,iPhone 8 Plus,256GB,7488.0,http://item.jd.com/25544982965.html
35,iPhone 6S Plus,128GB,3799.0,http://item.jd.com/16462803161.html
37,iPhone 6S Plus,32GB,2868.0,http://item.jd.com/11269294956.html
38,iPhone 6,32GB,1999.0,http://item.jd.com/11428646863.html
39,iPhone 8 Plus,64GB,5878.0,http://item.jd.com/27107283896.html
40,iPhone XS Max,64GB,10599.0,http://item.jd.com/32853824570.html
41,iPhone XS Max,512GB,12799.0,http://item.jd.com/32944865430.html
42,iPhone X,256GB,8488.0,http://item.jd.com/19666641972.html
43,iPhone XS Max,256GB,10888.0,http://item.jd.com/32961896245.html
47,iPhone 7 Plus,128GB,5788.0,http://item.jd.com/11439252930.html
48,iPhone XS,64GB,8138.0,http://item.jd.com/32147325778.html
49,iPhone 8 Plus,64GB,5999.0,http://item.jd.com/25545022272.html
52,iPhone X,256GB,8999.0,http://item.jd.com/25540408291.html
53,iPhone 6S Plus,32GB,2858.0,http://item.jd.com/15195744280.html
